,Unnamed: 0,obs_1_in_lawn,obs_1_x,obs_1_y,obs_1_t,obs_1_z,obs_1_speed,obs_4_in_lawn,obs_4_x,obs_4_y,obs_4_t,obs_4_z,obs_4_speed,obs_5_in_lawn,obs_5_x,obs_5_y,obs_1_average_speed,obs_1_total_distance,obs_4_average_speed,obs_4_total_distance,obs_5_total_distance
15,16,True,616.386980955488,315.003729479038,15.0,0.0,692.214027506756,True,506.247623787002,408.988082673928,15.0,0.0,650.813266889422,False,523.433453461274,421.986374343214,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
16,17,True,616.17268934805,315.114811175603,16.0,0.0,692.073787482697,True,505.963262532582,409.265248693254,16.0,0.0,650.76636884566,False,524.716960515973,421.820871337182,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
17,18,True,615.957168610201,315.343612680801,17.0,0.0,691.986146986249,True,505.656671049691,409.61751216207693,17.0,0.0,650.749702456255,True,513.155967661969,421.42283184164,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
18,19,True,615.541133269311,315.837704452082,18.0,0.0,691.841269584309,True,505.813890277659,409.574626349172,18.0,0.0,650.844886395279,True,511.90156289235694,420.741495537664,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
19,20,True,615.055710267392,316.345464711342,19.0,0.0,691.64151102718,True,505.974109290668,409.436333251608,19.0,0.0,650.882408933447,True,512.21101367251,420.900134322212,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
20,21,True,614.946556381893,316.507096398241,20.0,0.0,691.618398595927,True,506.596839927825,408.436137931226,20.0,0.0,650.738378300399,False,516.852611010478,421.997777288603,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
21,22,True,614.994089818258,316.555515893933,21.0,0.0,691.682821208003,True,507.43906767395,407.740187010868,21.0,0.0,650.958115016216,False,518.771836142189,422.880953691849,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
22,23,True,614.796982729491,316.821251470917,22.0,0.0,691.629261495553,True,507.649062366434,407.436317722045,22.0,0.0,650.931581289784,False,518.868608008306,423.139124567689,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
23,24,True,614.626475130693,317.036920848938,23.0,0.0,691.57654176017,True,507.383024861766,407.6183766295,23.0,0.0,650.838132628954,False,519.145380261455,423.637419979018,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
24,25,True,614.333872454069,317.474786218015,24.0,0.0,691.517423300807,True,506.811294919508,408.320644854978,24.0,0.0,650.832879987461,False,519.678562310982,424.10924194617104,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
25,26,True,614.229602979046,317.617666445427,25.0,0.0,691.490410066571,True,506.616934327059,408.608327840603,25.0,0.0,650.862108074852,False,520.635781357424,425.246446000341,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
26,27,True,613.749662842148,318.239984360918,26.0,0.0,691.350371580783,True,507.050406378494,408.699554790504,26.0,0.0,651.256816236538,False,521.137081762104,425.997334324112,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
27,28,True,613.591445678791,318.394045237628,27.0,0.0,691.280862061847,True,506.817053386229,408.40199133528,27.0,0.0,650.888402208644,False,522.079019578658,428.41085902429296,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
28,29,True,613.458168307458,318.503986381072,28.0,0.0,691.213218626334,True,506.62835520013294,408.767217770358,28.0,0.0,650.970758649351,False,523.641468768132,431.94098874675296,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
29,30,True,613.465854476071,318.327575456964,29.0,0.0,691.138770366968,True,506.166227004308,409.108738814488,29.0,0.0,650.82579046482,False,525.043145454955,433.496850592888,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
30,31,True,613.283241788843,318.468405705467,30.0,0.0,691.04157623953,True,506.082950175822,409.276788273334,30.0,0.0,650.866685180613,False,526.142492853308,434.767363311063,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
31,32,True,613.301935865887,318.459681193744,31.0,0.0,691.054146274274,True,506.71996165355296,408.244597118141,31.0,0.0,650.714046731997,False,529.212684900087,438.391062441422,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
